fen,trait,en_passant,roque,cp
rnbqkbnr/pppp1ppp/8/4p3/4P3/3P4/PPP2PPP/RNBQKBNR,0,1,0,0
R4nk1/6p1/8/5N2/P1p4b/5p2/8/5K2,0,0,0,602
8/8/8/8/8/4kp2/8/4K3,0,0,0,0
rnbqkbnr/ppp1pppp/8/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR,0,1,0,-7
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N2P2/PPP3PP/R1BQKB1R,0,1,0,13
r2qkb1r/pp1n1p1p/3p1np1/2pP4/Q3P1b1/2N5/PP1N1PPP/R1B1KB1R,0,1,0,141
5k2/6pp/2B5/PPR2Pr1/3P4/7P/6P1/1b4K1,1,0,0,1827
1R6/5ppk/4q1n1/b2pB1Pp/2pP2b1/p1P5/P1B1rPP1/2Q2NK1,1,0,0,235
1k4r1/1bp5/p2p2pp/Nq2r3/1P5P/2Q5/5PP1/3R1RK1,0,0,0,-104
B3Q3/1q4pk/5p1p/5P1K/6PP/8/8/8,0,0,0,11
8/8/8/2N5/8/K3kp2/8/8,0,0,0,-15
rnbq1rk1/ppp1bppp/4p3/3p4/2PP4/5NP1/PPQnPPBP/RN3RK1,1,0,0,60
rnb1r1k1/ppp2pbp/5np1/4p1B1/2P1P3/2N2N2/PP2BPPP/2KR3R,0,0,0,0
r1b2rk1/3nppbp/p2p2p1/Qpp5/2nPP3/5P2/PP2N1PP/1KR2B1R,1,0,0,-51
8/8/8/3k1K2/4P3/8/8/8,0,0,0,15
8/8/2N5/5k2/1p2p3/p7/K7/8,1,0,0,0
rnbq1rk1/pp1pppbp/5np1/2p3B1/3P4/3BPN2/PPP2PPP/RN1QK2R,1,1,0,0
Q7/6p1/1n2k3/4N3/8/5p2/8/2b2K2,0,0,0,-534
4r1k1/6b1/p3p3/1p1pP2r/2pP2RN/2P5/PP5R/7K,1,0,0,30
8/1p6/p1bR1rk1/2P1Rp1r/5P1p/8/PP4P1/3K1B2,0,0,0,62
r1bqk2r/p2p2pp/2pNpn2/8/1bP2P2/4B3/PP2K1PP/R2Q1B1R,0,1,0,41
r1bq1rk1/pppn1pbp/3p1npB/4p3/3PP2P/5P2/PPPQ2P1/RN2KBNR,1,1,0,48
r1bqkb1r/pp1n1ppp/2p1pn2/8/2BPN3/5N2/PPP2PPP/R1BQK2R,1,1,0,67
r1bqk2r/pp1pppbp/2n2np1/1Bp5/4P3/5N2/PPPP1PPP/RNBQR1K1,1,1,0,32
2rqkb1r/pp2pppp/2n2nb1/1BppN3/6P1/1P2P2P/PBPP1P2/RN1QK2R,1,1,0,82
8/2k5/4R3/2K5/8/8/8/8,0,0,0,7
r1b1k2r/p2n1ppp/1p2p3/q2pP3/N2p1P2/8/P2N2PP/R2QKB1R,1,1,0,103
